"basePlot","n_samples"
"DSNY_044.basePlot.bgc",2
"GRSM_001.basePlot.bgc",2
"GRSM_002.basePlot.bgc",2
"GRSM_003.basePlot.bgc",2
"GRSM_006.basePlot.bgc",2
"GRSM_007.basePlot.bgc",3
"GRSM_016.basePlot.bgc",2
"GRSM_055.basePlot.bgc",2
"GRSM_058.basePlot.bgc",2
"GRSM_059.basePlot.bgc",2
"GRSM_060.basePlot.bgc",2
"GUAN_001.basePlot.bgc",3
"GUAN_002.basePlot.bgc",3
"GUAN_003.basePlot.bgc",3
"GUAN_004.basePlot.bgc",2
"GUAN_006.basePlot.bgc",3
"GUAN_007.basePlot.bgc",3
"GUAN_042.basePlot.bgc",3
"GUAN_043.basePlot.bgc",3
"GUAN_048.basePlot.bgc",3
"GUAN_049.basePlot.bgc",3
"HARV_001.basePlot.bgc",4
"HARV_002.basePlot.bgc",5
"HARV_004.basePlot.bgc",5
"HARV_005.basePlot.bgc",2
"HARV_010.basePlot.bgc",1
"HARV_013.basePlot.bgc",5
"HARV_020.basePlot.bgc",2
"HARV_021.basePlot.bgc",2
"HARV_033.basePlot.bgc",3
"HARV_034.basePlot.bgc",3
"HARV_035.basePlot.bgc",4
"HARV_037.basePlot.bgc",2
"HEAL_001.basePlot.bgc",2
"HEAL_004.basePlot.bgc",2
"HEAL_005.basePlot.bgc",2
"HEAL_010.basePlot.bgc",2
"HEAL_011.basePlot.bgc",2
"HEAL_025.basePlot.bgc",2
"HEAL_045.basePlot.bgc",2
"HEAL_046.basePlot.bgc",2
"HEAL_047.basePlot.bgc",2
"HEAL_048.basePlot.bgc",2
"JERC_001.basePlot.bgc",3
"JERC_002.basePlot.bgc",3
"JERC_003.basePlot.bgc",2
"JERC_004.basePlot.bgc",1
"JERC_005.basePlot.bgc",2
"JERC_006.basePlot.bgc",3
"JERC_047.basePlot.bgc",2
"JERC_048.basePlot.bgc",2
"JERC_049.basePlot.bgc",2
"JERC_050.basePlot.bgc",2
"JORN_001.basePlot.bgc",1
"JORN_002.basePlot.bgc",1
"JORN_003.basePlot.bgc",1
"JORN_004.basePlot.bgc",1
"JORN_005.basePlot.bgc",1
"JORN_006.basePlot.bgc",1
"JORN_042.basePlot.bgc",1
"JORN_045.basePlot.bgc",1
"JORN_047.basePlot.bgc",1
"KONA_001.basePlot.bgc",1
"KONA_002.basePlot.bgc",1
"KONA_003.basePlot.bgc",1
"KONA_004.basePlot.bgc",1
"KONA_005.basePlot.bgc",1
"KONA_048.basePlot.bgc",1
"KONA_054.basePlot.bgc",1
"KONA_057.basePlot.bgc",1
"KONA_059.basePlot.bgc",1
"KONZ_001.basePlot.bgc",3
"KONZ_002.basePlot.bgc",3
"KONZ_003.basePlot.bgc",3
"KONZ_004.basePlot.bgc",2
"KONZ_005.basePlot.bgc",3
"KONZ_024.basePlot.bgc",3
"KONZ_042.basePlot.bgc",2
"KONZ_043.basePlot.bgc",3
"KONZ_045.basePlot.bgc",3
"KONZ_046.basePlot.bgc",1
"LAJA_001.basePlot.bgc",3
"LAJA_002.basePlot.bgc",2
"LAJA_003.basePlot.bgc",3
"LAJA_004.basePlot.bgc",2
"LAJA_005.basePlot.bgc",2
"LAJA_015.basePlot.bgc",2
"LAJA_042.basePlot.bgc",3
"LAJA_044.basePlot.bgc",3
"LAJA_046.basePlot.bgc",3
"LAJA_051.basePlot.bgc",2
"LENO_001.basePlot.bgc",2
"LENO_002.basePlot.bgc",2
"LENO_003.basePlot.bgc",2
"LENO_004.basePlot.bgc",2
"LENO_005.basePlot.bgc",2
"LENO_006.basePlot.bgc",2
"LENO_061.basePlot.bgc",2
"LENO_062.basePlot.bgc",2
"LENO_063.basePlot.bgc",2
"LENO_064.basePlot.bgc",2
"MLBS_001.basePlot.bgc",2
"MLBS_002.basePlot.bgc",2
"MLBS_003.basePlot.bgc",2
"MLBS_005.basePlot.bgc",2
"MLBS_006.basePlot.bgc",2
"MLBS_007.basePlot.bgc",2
"MLBS_061.basePlot.bgc",2
"MLBS_063.basePlot.bgc",2
"MLBS_064.basePlot.bgc",2
"MLBS_067.basePlot.bgc",2
"MOAB_001.basePlot.bgc",2
"MOAB_002.basePlot.bgc",1
"MOAB_003.basePlot.bgc",2
"MOAB_004.basePlot.bgc",1
"MOAB_005.basePlot.bgc",1
"MOAB_006.basePlot.bgc",2
"MOAB_044.basePlot.bgc",1
"MOAB_045.basePlot.bgc",2
"MOAB_046.basePlot.bgc",1
"MOAB_047.basePlot.bgc",1
"NIWO_001.basePlot.bgc",4
"NIWO_002.basePlot.bgc",3
"NIWO_003.basePlot.bgc",2
"NIWO_004.basePlot.bgc",3
"NIWO_005.basePlot.bgc",2
"NIWO_006.basePlot.bgc",4
"NIWO_008.basePlot.bgc",2
"NIWO_040.basePlot.bgc",3
"NIWO_041.basePlot.bgc",4
"NIWO_042.basePlot.bgc",3
"NIWO_043.basePlot.bgc",4
"OAES_001.basePlot.bgc",3
"OAES_002.basePlot.bgc",4
"OAES_003.basePlot.bgc",2
"OAES_004.basePlot.bgc",3
"OAES_007.basePlot.bgc",2
"OAES_009.basePlot.bgc",2
"OAES_042.basePlot.bgc",2
"OAES_043.basePlot.bgc",3
"OAES_044.basePlot.bgc",4
"OAES_045.basePlot.bgc",4
"ONAQ_002.basePlot.bgc",3
"ONAQ_003.basePlot.bgc",3
